Code,Name,Lat,Lon,region1,region2
DUN,Dundas,,,Greenland,Greenland
DUQ,Duncan-Quamichan Lake,48.783333,-123.7,Canada,Canada
DUR,King Shaka - Durban Int'l ,-29.96718,30.94443,South Africa,South Africa
DUS,Dusseldorf International Airport ,51.2781,6.76803,Germany,Germany
DUT,Emergency Field ,53.900139,-166.5435,United States,United States
DVA,Deva,,,Romania,Romania
DVL,Devils Lake Airport ,48.11504,-98.907108,United States,United States
DVO,Mati ,7.1333,125.65,Philippines,Philippines
DVP,Davenport Downs,,,Australia,Australia
DVR,Daly River,-13.75,130.683333,Australia,Australia
DVT,Phoenix Deer Valley,33.689233,-112.08267,United States,United States
DWA,Dwangwa,-12.513856,34.131816,Malawi,Malawi
DWB,Soalala,-16.1,45.3666,Madagascar,Madagascar
DWD,Dawadmi,24.450972,44.122008,Saudi Arabia,Saudi Arabia
DWF,Dayton Wright Afb,,,United States,United States
DWH,Houston David Wayne Hooks,30.063611,-95.554235,United States,United States
DWN,Oklahoma City Downtown Airpark,35.449823,-97.532562,United States,United States
DWS,Orlando Walt Disney World,,,United States,United States
DXB,Dubai International Airport ,25.252457,55.370278,United Arab Emirates,United Arab Emirates
DXD,Dixie,-15.166667,143.666667,Australia,Australia
DXR,Danbury Airport ,41.372325,-73.483526,United States,United States
DYA,Dysart,-22.622198,148.36356,Australia,Australia
DYG,Dayong - Zhangjiajie,,,China,China
DYL,Doylestown,,,United States,United States
DYM,Diamantina Lakes,,,Australia,Australia
DYR,Anadyr,51.13287,96.710693,Russian Federation,Russian Federation
DYS,Abilene Dyess Afb,32.419998,-99.856941,United States,United States
DYU,Dushanbe,38.54361,68.824722,Tajikistan,Tajikistan
DYW,Daly Waters,-16.263384,133.38142,Australia,Australia
DZA,Dzaoudzi,,,Comoros,Comoros
DZI,Codazzi,9.6,-73.45,Colombia,Colombia
DZN,Dzezkazgan,47.71307,67.706451,Kazakhstan,Kazakhstan
DZO,Durazno,-33.358867,-56.499172,Uruguay,Uruguay
DZU,Dazu,29.636389,105.773888,China,China
EAA,Eagle,,,United States,United States
EAB,Abbse,,,Yemen,Yemen
EAE,Emae,-17.064019,168.399508,Vanuatu,Vanuatu
EAL,Kwajalein,,,Marshall Islands,Marshall Islands
EAM,Nejran,17.6166,44.4333,Saudi Arabia,Saudi Arabia
EAN,Wheatland Phifer,,,United States,United States
EAP,Airport Freiburg,,,Germany,Germany
EAR,Kearney Airport ,40.727416,-99.011938,United States,United States
EAS,San Sebastian Airport ,43.355661,-1.792081,Spain,Spain
EAT,Pangborn Field ,47.402709,-120.215004,United States,United States
EAU,Eau Claire Airport ,44.86529,-91.485075,United States,United States
EBA,Marina Di Campo ,42.760935,10.239144,Italy,Italy
EBB,Entebbe Airport ,0.04522,32.44322,Uganda,Uganda
EBD,El Obeid,13.155444,30.233528,Sudan,Sudan
EBG,El Bagre,7.596469,-74.808942,Colombia,Colombia
EBJ,Esbjerg Airport ,55.52491,8.557046,Denmark,Denmark
EBL,Echo Bay,,,Iraq,Iraq
EBM,El Borma,31.674084,9.252778,Tunisia,Tunisia
EBN,Ebadon,9.328332,166.820036,Marshall Islands,Marshall Islands
EBO,Ebon,4.597941,168.751771,Marshall Islands,Marshall Islands
EBR,Baton Rouge Downtown,43.708613,-112.607134,United States,United States
EBS,Webster City Municipal,42.434765,-93.867538,United States,United States
EBU,Boutheon ,45.540157,4.297312,France,France
EBW,Ebolowa,2.85,11.1833,Cameroon,Cameroon
ECA,East Tawas Iosco Cty,44.311823,-83.422734,United States,United States
ECG,Elizabeth City,36.26081,-76.173803,United States,United States
ECH,Echuca,-36.162777,144.763336,Australia,Australia
ECN,Ercan Airport ,35.159443,33.489723,Cyprus,Cyprus
ECO,El Encanto,-1.616667,-73.233333,Colombia,Colombia
ECP,Northwest Florida Beaches International ,30.3417,-85.7973,,
ECR,El Charco,2.5,-78.008333,Colombia,Colombia
ECS,Newcastle Mondell,43.884551,-104.314492,United States,United States
EDA,Edna Bay,55.95,-133.666667,United States,United States
EDB,Eldebba Dabba,,,Sudan,Sudan
EDD,Erldunda,-25.25,133.2,Australia,Australia
EDE,Edenton Municipal,36.027862,-76.561316,United States,United States
EDF,Elmendorf Air Force Base,61.252176,-149.815362,United States,United States
EDI,Edinburgh Airport ,55.9479,-3.36518,United Kingdom,United Kingdom
EDK,El Dorado,37.773812,-96.8162,United States,United States
EDL,Eldoret,0.404356,35.238317,Kenya,Kenya
EDM,La Roche Les Ajoncs,46.701668,-1.3825,France,France
EDO,Edremit/Korfez,39.554589,27.013833,Turkey,Turkey
EDQ,Erandique,14.133333,-88.416667,Honduras,Honduras
EDR,Emerald,,,Australia,Australia
EDW,Edwards,34.904999,-117.883614,United States,United States
EED,Needles,34.7679,-114.625476,United States,United States
EEK,Eek Airport,60.215434,-162.015776,United States,United States
EEN,Keene Dillant,42.896814,-72.272096,United States,United States
EFB,Eight Fathom Bight,,,United States,United States
EFD,Ellington Field,,,United States,United States
EFG,Efogi,,,Papua New Guinea,Papua New Guinea
EFK,Newport,44.889342,-72.225306,United States,United States
EFL,Argostolion ,38.118111,20.500305,Greece,Greece
EFW,Jefferson Municipal,42.009752,-94.34214,United States,United States
EGA,Engati,-6.916667,146.1,Papua New Guinea,Papua New Guinea
EGC,Roumanieres ,44.825054,0.520795,France,France
EGE,Eagle County ,39.642553,-106.917691,United States,United States
EGI,Valparaiso Duke Field,30.651204,-86.522838,United States,United States
EGL,Neghelli,5.2833,39.7,Ethiopia,Ethiopia
EGM,Sege,-8.566667,157.866667,Solomon Islands,Solomon Islands
EGN,El Geneina,,,Sudan,Sudan
EGO,Belgorod,55.726731,37.560096,Russian Federation,Russian Federation
EGP,Eagle Pass,,,United States,United States
EGS,Egilsstadir,,,Iceland,Iceland
EGV,Eagle River,45.932565,-89.26931,United States,United States
EGX,Egegik Airport ,58.188374,-157.380981,United States,United States
EHL,El Bolson,-41.943189,-71.532289,Argentina,Argentina
EHM,Cape Newenham,58.646427,-162.062775,United States,United States
EHT,East Hartford Rentschler,41.754166,-72.624443,United States,United States
EIA,Eia Popondetta,,,Papua New Guinea,Papua New Guinea
EIB,Eisenach-Kindel Airport,50.974388,10.32542,Germany,Germany
EIE,Eniseysk,,,Russian Federation,Russian Federation
EIH,Einasleigh,,,Australia,Australia
EIL,Fairbanks Eielson Afb,,,United States,United States
EIN,Eindhoven Airport ,51.447634,5.393619,Netherlands,Netherlands
EIS,Beef Island Airport ,18.444723,-64.542221,British Virgin Islands,British Virgin Islands
EIY,Ein Yahav,,,Israel,Israel
EJA,Barrancabermeja Variguies,7.025,-73.809166,Colombia,Colombia
EJH,Wedjh,26.2046,36.4769,Saudi Arabia,Saudi Arabia
EJT,Enajet,,,Marshall Islands,Marshall Islands
EKA,Eureka/Arcata Murray,40.803656,-124.114812,United States,United States
EKB,Ekibastuz,51.77858,75.315292,Kazakhstan,Kazakhstan
EKD,Elkedra,-21.033333,135.25,Australia,Australia
EKE,Ekereku,6.666667,-60.85,Guyana,Guyana
EKI,Elkhart-IN,41.716696,-86.004338,United States,United States
EKN,Elkins,38.889761,-79.856464,United States,United States
EKO,Elko Airport ,40.827965,-115.786951,United States,United States
EKT,Eskilstuna,,,Sweden,Sweden
EKX,Elizabethtown/Ft. Knox,37.686943,-85.923889,United States,United States
ELA,Eagle Lake,42.198086,-88.062484,United States,United States
ELB,El Banco San Bernad,9.045542,-73.974931,Colombia,Colombia
ELC,Elcho Island,-12.019444,135.573334,Australia,Australia
ELD,Goodwin Field ,33.221066,-92.80752,United States,United States
ELE,El Real,8.537981,-80.782127,Panama,Panama
ELF,El Fasher,,,Sudan,Sudan
ELG,El Golea,30.5658,2.8652,Algeria,Algeria
ELH,North Eleuthera International Airport ,25.475,-76.684723,Bahamas,Bahamas
ELI,Elim Airport,37.043637,-84.964133,United States,United States
ELJ,El Recreo,2,-74.133333,Colombia,Colombia
ELK,Elk City,35.402009,-99.404941,United States,United States
ELL,Ellisras,-23.726667,27.687305,South Africa,South Africa
ELM,Regional Airport ,42.159909,-76.89144,United States,United States
ELN,Ellensburg Bowers Fld,,,United States,United States
ELO,Eldorado,-26.3958,-54.572498,Argentina,Argentina
ELP,El Paso International Airport ,31.800599,-106.395517,United States,United States
ELQ,Gassim,26.3,43.7666,Saudi Arabia,Saudi Arabia
ELS,East London Airport ,-33.0342,27.8334,South Africa,South Africa
ELT,Tour Sinai City,28.21262,33.63674,Egypt,Egypt
ELU,El Oued Guemar,33.5053,6.7804,Algeria,Algeria
ELV,Elfin Cove,58.191204,-136.331238,United States,United States
ELW,Ellamar,60.886169,-146.705704,United States,United States
ELY,"Ely, NV",39.29975,-114.843446,United States,United States
ELZ,Wellsville Municipal,42.109504,-77.987672,United States,United States
EMA,East Midlands airport ,52.82669,-1.328597,United Kingdom,United Kingdom
EMB,San Francisco Embarkadero,,,United States,United States
EMD,Emerald Airport ,-23.570361,148.177635,Australia,Australia
EME,Emden,53.39106,7.228981,Germany,Germany
EMG,Empangeni,-28.733333,31.9,South Africa,South Africa
EMI,Emirau,,,Papua New Guinea,Papua New Guinea
EMK,Emmonak,,,United States,United States
EMM,Kemmerer,,,United States,United States
EMN,Nema,16.618525,-7.316694,Mauritania,Mauritania
EMO,Emo,-8.733333,147.783333,Papua New Guinea,Papua New Guinea
EMP,Emporia,38.329604,-96.188406,United States,United States
EMS,Embessa,-9.366667,148.466667,Papua New Guinea,Papua New Guinea
EMT,El Monte,34.085792,-118.03397,United States,United States
EMX,El Maiten,-42.068056,-71.155556,Argentina,Argentina
EMY,El Minya,28.0923,30.735,Egypt,Egypt
ENA,Kenai Airport ,60.571998,-151.247533,United States,United States
ENB,Eneabba,-30.083333,114.983333,Australia,Australia
ENC,Essey ,43.798868,6.402647,France,France
END,Enid Vance Afb,,,United States,United States
ENE,Ende,,,Indonesia,Indonesia
ENF,Enontekio Airport ,68.367226,23.422777,Finland,Finland
ENH,Enshi,,,China,China
ENI,El Nido,,,Philippines,Philippines
ENJ,El Naranjo,14.1,-90.833333,Guatemala,Guatemala
ENK,Enniskillen,54.397741,-7.651108,United Kingdom,United Kingdom
ENL,Centralia Municipal,38.514076,-89.093167,United States,United States
ENN,Nenana,64.548964,-149.072742,United States,United States
ENO,Encarnacion Alarcon,-27.3,-55.916667,Paraguay,Paraguay
ENQ,Coronel E. Soto Cano Ab,15.199999,-86.241905,Honduras,Honduras
ENS,Enschede Twente,52.636234,5.82543,Netherlands,Netherlands
ENT,Eniwetok,11.338583,162.327911,Marshall Islands,Marshall Islands
ENU,Enugu Emene,6.4666,7.55,Nigeria,Nigeria
ENV,Wendover,40.717847,-114.029125,United States,United States
ENW,Kenosha,42.596738,-87.932882,United States,United States
ENY,Yan'An,,,China,China
EOH,Medellin Herrera,6.221571,-75.59026,Colombia,Colombia
EOI,Eday,59.2,-2.783333,United Kingdom,United Kingdom
EOK,Keokuk,40.459762,-91.428504,United States,United States
EOR,El Dorado,6.716944,-61.638889,Venezuela,Venezuela
EOS,Neosho,36.809054,-94.389588,United States,United States
EOZ,Elorza,,,Venezuela,Venezuela
EPG,Weeping Water Browns,40.8675,-96.110008,United States,United States
EPH,Ephrata,47.30735,-119.515184,United States,United States
EPI,Epi,-16.75,168.333333,Vanuatu,Vanuatu
EPK,Episkopi,34.666667,32.9,Cyprus,Cyprus
EPL,Epinal Mirecourt,48.324324,6.069048,France,France
EPN,Epena,1.366667,17.483333,Republic of  Congo,Republic of  Congo
EPR,Esperance,-33.68186,121.826874,Australia,Australia
EPS,El Portillo,,,Dominican Republic,Dominican Republic
EPT,Eliptamin,-5.033333,141.666667,Papua New Guinea,Papua New Guinea
EPU,Parnu airport ,58.385899,24.49785,Estonia,Estonia
EQS,Esquel,-42.90795,-71.139472,Argentina,Argentina
ERA,Erigavo,10.616667,47.4,Somalia,Somalia
ERB,Ernabella,-26.263412,132.178975,Australia,Australia
ERC,Erzincan,39.71058,39.527186,Turkey,Turkey
ERD,Berdyansk,,,Ukraine,Ukraine
ERE,Erave,,,Papua New Guinea,Papua New Guinea
ERF,Erfurt Airport ,50.975046,10.96192,Germany,Germany
ERH,Errachidia Airport ,,,Morocco,Morocco
ERI,International ,42.08292,-80.180533,United States,United States
ERM,Erechim,-27.661945,-52.268333,Brazil,Brazil
ERN,Eirunepe,-6.637278,-69.879524,Brazil,Brazil
ERR,Errol,44.792106,-71.164368,United States,United States
ERS,Windhoek-Eros,-22.60222,17.08168,Namibia,Namibia
ERT,Erdenet,48.988945,104.140419,Mongolia,Mongolia
ERU,Erume,-8.416667,147.083333,Papua New Guinea,Papua New Guinea
ERV,Kerrville,29.977462,-99.084564,United States,United States
ERZ,Erzurum,39.955333,41.169793,Turkey,Turkey
ESA,Esa'Ala,,,Papua New Guinea,Papua New Guinea
ESB,Esenboga ,40.116109,32.992157,Turkey,Turkey
ESC,Delta County Arpt ,45.720285,-87.093194,United States,United States
ESD,Orcas Island,48.696602,-122.830044,United States,United States
ESE,Ensenada,31.794701,-116.6008,Mexico,Mexico
ESF,Alexandria-La,31.393123,-92.295818,United States,United States
ESG,Mariscal Estigarribia,-22.044445,-60.620277,Paraguay,Paraguay
ESH,Shoreham-By-Sea,54.790884,-1.69486,United Kingdom,United Kingdom
ESI,Espinosa,-14.9336,-42.810299,Brazil,Brazil
ESK,Eskisehir,,,Turkey,Turkey
ESL,Elista,,,Russian Federation,Russian Federation
ESM,Esmeraldas,0.974704,-79.621054,Ecuador,Ecuador
ESN,Easton,,,United States,United States
ESO,Espanola,36.024946,-106.047572,United States,United States
ESP,East Stroudsburg Pocono,41.035831,-75.160553,United States,United States
ESR,El Salvador,-26.311945,-69.764725,Chile,Chile
ESS,Essen,51.403815,6.938986,Germany,Germany
EST,Estherville Municipal,43.406704,-94.745812,United States,United States
ESU,Essaouira Airport ,31.403889,-9.684722,Morocco,Morocco
ESW,Easton State,47.254005,-121.188698,United States,United States
ETB,West Bend,43.420331,-88.127622,United States,United States
ETD,Etadunna,,,Australia,Australia
ETE,Genda Wuha,,,Ethiopia,Ethiopia
ETH,Eilat Airport ,29.5666,34.9666,Israel,Israel
ETN,Eastland,,,United States,United States
ETS,Enterprise,31.29608,-85.902818,United States,United States
ETZ,Metz-Nancy-Lorraine ,49.25677,9.507135,France,France
EUA,Kaufana ,-21.366667,-174.933333,Tonga,Tonga
EUC,Eucla,-31.704888,128.879642,Australia,Australia
EUE,Eureka,39.604168,-116.005058,United States,United States
EUF,Eufaula,31.950496,-85.131198,United States,United States
EUG,Eugene Airport ,44.11877,-123.214291,United States,United States
EUM,NeumÃ_nster,54.166667,9.983333,Germany,Germany
EUN,Hassan I ,,,Morocco,Morocco
EUX,F D Roosevelt ,17.491667,-62.975555,Netherlands Antilles,Netherlands Antilles
EVA,Evadale Landing,34.332349,-86.75901,United States,United States
EVD,Eva Downs,,,Australia,Australia
EVE,Lofoten International Airport ,68.490205,16.681776,Norway,Norway
EVG,Sveg Airport ,62.047993,14.422786,Sweden,Sweden
EVH,Evans Head,,,Australia,Australia
EVM,Eveleth,47.426497,-92.494542,United States,United States
EVN,Yerevan Airport ,40.148335,44.393612,Armenia,Armenia
EVV,Dress Regional ,38.04454,-87.529156,United States,United States
EVW,Evanston,41.274994,-111.032064,United States,United States
EVX,Evreux,,,France,France
EWB,New Bedford Airport ,41.673436,-70.957908,United States,United States
EWD,Wildman Lake,,,,
EWE,Ewer,-5.483333,138.066667,Indonesia,Indonesia
EWI,Enarotali,-3.943903,136.379164,Indonesia,Indonesia
EWK,Newton City Cnty,38.061052,-97.272754,United States,United States
EWN,Simmons Nott ,35.078801,-77.034616,United States,United States
EWO,Ewo,,,Republic of  Congo,Republic of  Congo
EWR,Newark Airport ,40.692499,-74.16866,United States,United States
EXI,Excursion Inlet,58.41811,-135.438141,United States,United States
EXM,Exmouth Gulf,,,Australia,Australia
EXT,Exeter Airport ,50.731098,-3.416822,United Kingdom,United Kingdom
EYL,Yelimane,,,Mali,Mali
EYP,El Yopal,,,Colombia,Colombia
EYR,Yerington,,,United States,United States
EYS,Eliye Springs,3.25,35.966667,Kenya,Kenya
EYW,Key West International ,24.556191,-81.759547,United States,United States
EZE,Ministro Pistarini ,-34.608025,-58.392362,Argentina,Argentina
EZS,Elazig Airport ,38.606989,39.292767,Turkey,Turkey
FAA,Faranah,10.035556,-10.769444,Guinea,Guinea
FAB,Farnborough,51.27861,-0.771667,United Kingdom,United Kingdom
FAE,Faroe Islands - Vagar,62.064972,-7.279833,Faroe Islands,Faroe Islands
FAG,Fagurholsmyri,63.883333,-16.65,Iceland,Iceland
FAH,Farah,32.3763,62.1575,Afghanistan,Afghanistan
FAI,Fairbanks International Airport ,64.816654,-147.856586,United States,United States
FAJ,Fajardo,18.31019,-65.66264,Puerto Rico,Puerto Rico
FAK,False Island,57.534656,-135.210761,United States,United States
FAL,Roma Falcon,30.982666,-93.436104,United States,United States
FAM,Farmington,37.761851,-90.427237,United States,United States
FAN,Farsund Lista,,,Norway,Norway
FAO,Faro Airport ,41.512339,-8.770299,Portugal,Portugal
FAR,Hector Field ,46.920276,-96.825236,United States,United States
FAS,Faskrudsfjordur,64.916667,-14.066667,Iceland,Iceland
FAT,Airterminal ,36.7698,-119.72,United States,United States
FAV,Fakarava,-16.051484,-145.658473,French Polynesia,French Polynesia
FAY,Fayetteville Municipal Airport ,34.991451,-78.879939,United States,United States
FBD,Faizabad,37.1167,70.5167,Afghanistan,Afghanistan
FBE,Francisco Beltrao,-26.061388,-53.064445,Brazil,Brazil
FBK,Fairbanks Ft Wainwright,64.837502,-147.614441,United States,United States
FBL,Faribault,44.328626,-93.311988,United States,United States
FBM,Lubumbashi,-11.590917,27.530111,Democratic Republic of Congo,Democratic Republic of Congo
FBO,Fonte Boa,,,Brazil,Brazil
FBR,Fort Bridger,41.391933,-110.406792,United States,United States
FBS,Friday Harbor Airport ,,,United States,United States
FBU,Oslo-Fornebu,59.894165,10.6175,Norway,Norway
FBY,Fairbury Municipal,40.183065,-97.165242,United States,United States
FCA,Glacier National Park ,48.307095,-114.257814,United States,United States
FCB,Ficksburg Sentra Oes,,,South Africa,South Africa
FCH,Fresno Fresno-Chandler,,,United States,United States
FCM,Minneapolis Flying Cloud,44.828472,-93.460432,United States,United States
FCN,Cuxhaven/Nordholz Sea Airport,53.767223,8.658611,Germany,Germany
FCO,Fiumicino airport ,41.813114,12.253037,Italy,Italy
FCS,Colorado Springs Butts Aaf,38.685276,-104.764999,United States,United States
FCT,Yakima Firing Center Aaf,46.666515,-120.453957,United States,United States
FCY,Forrest City,34.942046,-90.775287,United States,United States
FDE,Bringeland ,61.392468,5.762146,Norway,Norway
FDF,Lamentin airport ,14.590278,-61.003613,Martinique,Martinique
FDH,Friedrichshafen Airport ,47.672934,9.523058,Germany,Germany
FDK,Frederick,39.416225,-77.375938,United States,United States
FDR,Frederick,34.351215,-98.993019,United States,United States
FDU,Bandundu,-3.307778,17.383333,Democratic Republic of Congo,Democratic Republic of Congo
FDY,Findlay,41.013154,-83.667952,United States,United States
FEA,Fetlar,54.704769,-6.800517,United Kingdom,United Kingdom
FEB,Sanfebagar,29.2335,81.2171,Nepal,Nepal
FEG,Fergana,,,Uzbekistan,Uzbekistan
FEL,FÃ_rstenfeldbruck,48.202778,11.266666,Germany,Germany
FEN,Fernando De Noronha Airport ,-3.851944,-32.424446,Brazil,Brazil
FEP,Freeport,42.248036,-89.582327,United States,United States
FET,Fremont Municipal,41.44674,-96.518272,United States,United States
FEW,Cheyenne Warren Afb,41.133316,-104.867195,United States,United States
FEZ,Sais airport ,34.0469,-4.9963,Morocco,Morocco
FFA,Kill Devil Hills 1St Flight,36.018333,-75.671387,United States,United States
FFD,Fairford RAF,51.682499,-1.789444,United Kingdom,United Kingdom
FFL,Fairfield Municipal,41.053662,-91.982242,United States,United States
FFM,Fergus Falls,46.284068,-96.154297,United States,United States
FFO,Dayton Patterson Afb,39.826111,-84.048332,United States,United States
FFT,Frankfort Capital,38.182888,-84.905301,United States,United States
FFU,Futaleufu,-43.2,-71.816667,Chile,Chile
FGD,Fderik,22.664949,-12.733152,Mauritania,Mauritania
FGI,Fagali I ,,,Samoa,Samoa
FGL,Fox Glacier,-43.4,170.033333,New Zealand,New Zealand
FGU,Fangatau,-15.819928,-140.88715,French Polynesia,French Polynesia
FHU,Libby AAF ,31.585713,-110.335065,United States,United States
FHZ,Fakahina,,,French Polynesia,French Polynesia
FIC,Fire Cove,55.770305,-131.525154,United States,United States
FID,Fishers Island,41.252058,-72.032138,United States,United States
FIE,Fair Isle,59.512592,-1.664348,United Kingdom,United Kingdom
FIG,Fria,10.353956,-13.406926,Guinea,Guinea
FIH,Kinshasa-N'Djili,-4.38787,15.44688,Democratic Republic of Congo,Democratic Republic of Congo
FIK,Finke,-25.593683,134.585025,Australia,Australia
FIL,Fillmore,38.958298,-112.363274,United States,United States
FIN,Finschhafen,-6.614608,147.857189,Papua New Guinea,Papua New Guinea
FIV,Five Finger,,,United States,United States
FIZ,Fitzroy Crossing,-18.179904,125.56143,Australia,Australia
FJR,Fujairah (Alfujairah),25.110957,56.326164,United Arab Emirates,United Arab Emirates
FKB,KARLSRUHE-BADEN BADEN ,48.776974,8.083394,Germany,Germany
FKH,Fakenham-Sculthorp RAF,,,United Kingdom,United Kingdom
FKI,Kisangani,0.478828,25.337208,Democratic Republic of Congo,Democratic Republic of Congo
FKJ,Fukui,36.141666,136.223328,Japan,Japan
FKL,Chess-Lambertin ,41.379245,-79.855294,United States,United States
FKN,Franklin Municipal,36.696617,-76.902865,United States,United States
FKQ,Fak-Fak,-2.933333,132.266667,Indonesia,Indonesia
FKS,Fukushima Airport,,,Japan,Japan
FLA,Florencia Capitolio,1.59,-75.565552,Colombia,Colombia
FLB,Floriano Cangapara,-6.846389,-43.077221,Brazil,Brazil
FLC,Falls Creek,-34.983333,150.6,Australia,Australia
FLD,Fond Du Lac,43.769679,-88.491993,United States,United States
FLE,Petersburg Fort Lee Aaf,27.698682,-83.804475,United States,United States
FLF,Flensburg Schaferhas,54.772435,9.380987,Germany,Germany
FLG,Pulliam Field ,35.136642,-111.671161,United States,United States
FLH,Flotta Isle,,,United Kingdom,United Kingdom
FLI,Flateyri,65.983333,-23.7,Iceland,Iceland
FLJ,Falls Bay Spb,60.0325,-148.008333,United States,United States
FLL,Fort Lauderdale Hollywood International Airport ,26.071654,-80.146054,United States,United States
FLM,Filadelfia,-22.360556,-60.053333,Paraguay,Paraguay
FLN,Hercilio Luz ,-27.665361,-48.551498,Brazil,Brazil
FLO,Florence Airport ,34.185359,-79.72389,United States,United States
FLP,Flippin Marion,36.292154,-92.588113,United States,United States
FLR,Peretola Airport ,43.808522,11.202161,Italy,Italy
FLS,Flinders Is.,-40.091172,148.00485,Australia,Australia
FLT,Flat,39.805814,-81.816165,United States,United States
FLU,Flushing Airport/New York,39.973297,-109.914313,United States,United States
FLW,Santa Cruz ,39.455833,-31.129444,Portugal,Portugal
FLX,Fallon,39.498596,-118.748782,United States,United States
FLY,Finley,-35.65,145.583333,Australia,Australia
FMA,Formosa,-26.212722,-58.228111,Argentina,Argentina
FMC,Five Mile,65.927048,-149.840073,United States,United States
FMG,Flamingo,10.416667,-85.783333,Costa Rica,Costa Rica
FMH,Falmouth,41.65822,-70.525054,United States,United States
FMI,Kalemie,-5.872901,29.247856,Democratic Republic of Congo,Democratic Republic of Congo
FMM,Allgau airport ,,,Germany,Germany
FMN,Farmington Municipal Airport ,36.740065,-108.228567,United States,United States
FMO,Muenster Airport ,52.134302,7.683435,Germany,Germany
FMS,Fort Madison,40.659151,-91.326335,United States,United States
FMY,Page Field,26.585227,-81.863735,United States,United States
FNA,Lungi International ,8.618036,-13.199275,Republic of Sierra Leone,Republic of Sierra Leone
FNC,Funchal Airport ,32.698891,-16.7775,Portugal,Portugal
FNE,Fane,-8.6,147.233333,Papua New Guinea,Papua New Guinea
FNG,Fada Ngourma,12.066667,0.35,Burkina Faso,Burkina Faso
FNH,Fincha,9.583333,37.433333,Ethiopia,Ethiopia
FNI,Nimes,43.758762,4.413731,France,France
FNJ,Pyongyang-Sunan,,,North Korea,North Korea
FNK,Fin Creek,69.5,-147.583333,United States,United States
FNL,Fort Collins-Loveland Municipal Airport,40.447861,-105.009853,United States,United States
FNR,Funter Bay,58.257374,-134.896469,United States,United States
FNT,Bishop ,42.9655,-83.743449,United States,United States
FOA,Foula,60.116373,-2.067715,United Kingdom,United Kingdom
FOB,Fort Bragg,39.474331,-123.79557,United States,United States
FOC,Fuzhou Airport ,,,China,China
FOD,Fort Dodge Airport ,42.552025,-94.183132,United States,United States
FOE,Forbes Field Airport,38.950357,-95.664459,United States,United States
FOG,Foggia Gino Lisa,41.431511,15.534552,Italy,Italy
FOK,Westhampton,40.84643,-72.62835,United States,United States
FOM,Foumban,7.25,12.883333,Cameroon,Cameroon
FOO,Numfoor,1.56403,103.853996,Indonesia,Indonesia
FOR,Pinto Martins ,-3.776667,-38.532776,Brazil,Brazil
FOS,Forrest,-30.835798,128.117447,Australia,Australia
FOT,Forster,-32.186805,152.512913,Australia,Australia
FOU,Fougamou,-1.288589,10.618389,Gabon,Gabon
FOX,Fox,38.609451,-90.216863,United States,United States
FOY,Foya,8.3733,-10.2199,Liberia,Liberia
FPO,Grand Bahama Int'l ,26.558611,-78.695831,Bahamas,Bahamas
FPR,Fort Pierce,27.490106,-80.366099,United States,United States
FPY,Perry Foley,30.070198,-83.574799,United States,United States
FRA,Frankfurt Int'l Airport ,50.025177,8.559182,Germany,Germany
FRB,Forbes,-33.362221,147.940002,Australia,Australia
FRC,Franca,-20.591555,-47.382694,Brazil,Brazil
FRD,Friday Harbor Airport,48.52197,-123.02436,United States,United States
FRE,Fera Island,,,Solomon Islands,Solomon Islands
FRF,Frankfurt Rhein-Main Air Base,50.025177,8.559182,Germany,Germany
FRG,Long Island Republic,40.735506,-73.413828,United States,United States
FRH,French Lick,38.505834,-86.632089,United States,United States
FRJ,Frejus,,,France,France
FRK,Fregate Is.,-4.588099,55.946222,Seychelles,Seychelles
FRL,Luigi Ridolfi ,44.195477,12.069843,Italy,Italy
FRM,Fairmont,43.644761,-94.41742,United States,United States
FRO,Flora ,61.582355,5.023012,Norway,Norway
FRP,Fresh Water Bay,57.845833,-135.025,United States,United States
FRQ,Feramin,,,Papua New Guinea,Papua New Guinea
FRR,Front Royal Warren Cty,38.917254,-78.253594,United States,United States
FRS,Santa Elena ,16.914722,-89.866386,Guatemala,Guatemala
FRU,Bishkek Airport ,43.06139,74.477501,Kyrgyzstan,Kyrgyzstan
FRW,Francistown,-21.1666,27.4833,Botswana,Botswana
FRY,Fryeburg,43.991068,-70.946224,United States,United States
FSC,Sud Corse ,41.503416,9.098554,France,France
FSD,Regional(Jo Foss Fld) ,43.584615,-96.742134,United States,United States
FSK,Fort Scott,37.798439,-94.769202,United States,United States
FSL,Fossil Downs,-18.2,125.75,Australia,Australia
FSM,Fort Smith Municipal Airport ,35.337802,-94.363978,United States,United States
FSP,"St. Pierre, NF",46.771962,-56.16766,St. Pierre and Miquelon,St. Pierre and Miquelon
FSS,Forres Kinloss,57.649445,-3.560555,United Kingdom,United Kingdom
FST,Ft. Stockton,30.915341,-102.913727,United States,United States
FSU,Fort Sumner,34.486668,-104.217217,United States,United States
FSZ,Shizuoka Airport ,34.975562,138.3827596,Japan,Japan
FTA,Futuna Island,-19.533333,170.216667,Vanuatu,Vanuatu
FTE,El Calafate Airport ,-50.280253,-72.053217,Argentina,Argentina
FTI,Fitiuta,-14.218541,-169.42444,American Samoa,American Samoa
FTL,Fortuna Ledge,,,United States,United States
FTU,Ft. Dauphin Marillac,-25.0333,46.95,Madagascar,Madagascar
FTW,Dallas Meacham,32.81889,-97.359576,United States,United States
